binary,cold_ms,hot_ms,status_cold,status_hot
/bin/[,2.3490,0.0720,analysed,cloaked
/bin/aa-enabled,1.2590,0.0700,analysed,cloaked
/bin/aa-exec,1.2880,0.0700,analysed,cloaked
/bin/aa-features-abi,1.1290,0.0730,analysed,cloaked
/bin/addpart,1.4260,0.0740,analysed,cloaked
/bin/addr2line,1.4560,0.0780,analysed,cloaked
/bin/appstreamcli,3.0670,0.0770,analysed,cloaked
/bin/apropos,1.4730,0.0780,analysed,cloaked
/bin/apt,1.1200,0.0760,analysed,cloaked
/bin/apt-cache,1.9080,0.1060,analysed,cloaked
/bin/apt-cdrom,1.3780,0.0750,analysed,cloaked
/bin/apt-config,1.3060,0.0740,analysed,cloaked
/bin/apt-extracttemplates,1.2040,0.1170,analysed,cloaked
/bin/apt-ftparchive,3.9240,0.1370,analysed,cloaked
/bin/apt-get,1.9170,0.1010,analysed,cloaked
/bin/apt-mark,1.6450,0.0830,analysed,cloaked
/bin/apt-sortpkgs,1.3930,0.0880,analysed,cloaked
/bin/ar,1.4620,0.0710,analysed,cloaked
/bin/arch,1.0800,0.0700,analysed,cloaked
/bin/aria2c,1.0550,0.1300,analysed,cloaked
/bin/as,11.1710,0.1030,analysed,cloaked
/bin/awk,9.6460,0.1050,analysed,cloaked
/bin/b2sum,1.6230,0.1150,analysed,cloaked
/bin/base32,1.3300,0.1200,analysed,cloaked
/bin/base64,1.4180,0.0680,analysed,cloaked
/bin/basename,2.0110,0.0680,analysed,cloaked
/bin/basenc,1.2580,0.0680,analysed,cloaked
/bin/bash,18.0860,0.0690,analysed,cloaked
/bin/bc,1.6250,0.0840,analysed,cloaked
/bin/broadwayd,2.1240,0.0670,analysed,cloaked
/bin/bunzip2,1.1370,0.0670,analysed,cloaked
/bin/busctl,1.9130,0.0660,analysed,cloaked
/bin/bzcat,0.0760,0.0650,analysed,cloaked
/bin/bzip2,0.0670,0.0660,analysed,cloaked
/bin/bzip2recover,0.9850,0.0660,analysed,cloaked
/bin/c++,13.2090,0.0850,analysed,cloaked
/bin/c++filt,0.9260,0.0730,analysed,cloaked
/bin/captoinfo,1.6130,0.0790,analysed,cloaked
/bin/cargo,255.5470,0.0960,analysed,cloaked
/bin/cat,1.0820,0.0820,analysed,cloaked
/bin/catman,0.9650,0.0840,analysed,cloaked
/usr/bin/[,0.0760,0.0660,analysed,cloaked
/usr/bin/aa-enabled,0.0710,0.0660,analysed,cloaked
/usr/bin/aa-exec,0.0700,0.0870,analysed,cloaked
/usr/bin/aa-features-abi,0.0690,0.0670,analysed,cloaked
/usr/bin/addpart,0.0690,0.0690,analysed,cloaked
/usr/bin/addr2line,0.0700,0.0690,analysed,cloaked
/usr/bin/appstreamcli,0.0690,0.0690,analysed,cloaked
/usr/bin/apropos,0.1230,0.0690,analysed,cloaked
/usr/bin/apt,0.0750,0.0680,analysed,cloaked
/usr/bin/apt-cache,0.0730,0.0830,analysed,cloaked
/usr/bin/apt-cdrom,0.0900,0.0670,analysed,cloaked
/usr/bin/apt-config,0.0840,0.0670,analysed,cloaked
/usr/bin/apt-extracttemplates,0.0820,0.0660,analysed,cloaked
/usr/bin/apt-ftparchive,0.0930,0.0670,analysed,cloaked
/usr/bin/apt-get,0.0760,0.0670,analysed,cloaked
/usr/bin/apt-mark,0.0690,0.0680,analysed,cloaked
/usr/bin/apt-sortpkgs,0.0680,0.0660,analysed,cloaked
/usr/bin/ar,0.0690,0.0670,analysed,cloaked
/usr/bin/arch,0.0690,0.0670,analysed,cloaked
/usr/bin/aria2c,0.0690,0.0660,analysed,cloaked
/usr/bin/as,0.0690,0.0660,analysed,cloaked
/usr/bin/awk,0.0710,0.0680,analysed,cloaked
/usr/bin/b2sum,0.0680,0.0820,analysed,cloaked
/usr/bin/base32,0.0740,0.0710,analysed,cloaked
/usr/bin/base64,0.1160,0.0680,analysed,cloaked
/usr/bin/basename,0.0730,0.0670,analysed,cloaked
/usr/bin/basenc,0.0690,0.0660,analysed,cloaked
/usr/bin/bash,0.0690,0.0670,analysed,cloaked
/usr/bin/bc,0.0690,0.0670,analysed,cloaked
/usr/bin/broadwayd,0.0680,0.0660,analysed,cloaked
/usr/bin/bunzip2,0.0680,0.0650,analysed,cloaked
/usr/bin/busctl,0.0680,0.0670,analysed,cloaked
/usr/bin/bzcat,0.0670,0.0650,analysed,cloaked
/usr/bin/bzip2,0.0670,0.0650,analysed,cloaked
/usr/bin/bzip2recover,0.0690,0.0650,analysed,cloaked
/usr/bin/c++,0.0720,0.0680,analysed,cloaked
/usr/bin/c++filt,0.0690,0.0680,analysed,cloaked
/usr/bin/captoinfo,0.0680,0.0660,analysed,cloaked
/usr/bin/cargo,0.0670,0.0660,analysed,cloaked
/usr/bin/cat,0.0680,0.0660,analysed,cloaked
/usr/bin/catman,0.0670,0.0660,analysed,cloaked
/bin/ls,2.3070,0.0680,analysed,cloaked
/bin/ls,0.0940,0.0650,analysed,cloaked
/bin/ls,0.0790,0.0650,analysed,cloaked
/bin/ls,0.0970,0.0650,analysed,cloaked
/bin/ls,0.0720,0.0650,analysed,cloaked
/bin/ls,0.0680,0.0640,analysed,cloaked
/bin/ls,0.0860,0.0640,analysed,cloaked
/bin/ls,0.0790,0.0640,analysed,cloaked
/bin/ls,0.0830,0.0650,analysed,cloaked
/bin/ls,0.1500,0.0640,analysed,cloaked
/bin/ls,0.1340,0.0640,analysed,cloaked
/bin/ls,0.1010,0.0790,analysed,cloaked
/bin/ls,0.0660,0.0690,analysed,cloaked
/bin/ls,0.0660,0.0660,analysed,cloaked
/bin/ls,0.0660,0.0650,analysed,cloaked
/bin/ls,0.0800,0.0640,analysed,cloaked
